id,Pamp,Ramp,Tamp,PR,QRS,QT,RRI,dRRI,label
1,0.145,1.690,0.020,136.111,88.889,336.111,652.778,13.889,N
2,0.150,1.645,0.020,138.889,88.889,322.222,669.444,16.667,N
3,0.160,1.620,-0.020,127.778,55.556,305.556,680.556,11.111,N
4,0.115,1.525,-0.015,136.111,58.333,297.222,652.778,27.778,N
5,0.140,1.610,-0.040,122.222,63.889,313.889,644.444,8.333,N
6,0.060,1.550,-0.150,141.667,86.111,322.222,688.889,44.444,N
7,0.010,1.430,-0.135,133.333,91.667,311.111,686.111,2.778,N
8,0.000,1.450,-0.075,127.778,58.333,308.333,663.889,22.222,N
9,0.065,1.585,-0.160,125.000,100.000,313.889,641.667,22.222,N
10,-0.050,1.445,-0.245,138.889,91.667,316.667,652.778,11.111,N
11,-0.115,1.350,-0.250,130.556,86.111,336.111,647.222,5.556,N
12,-0.100,1.385,-0.170,125.000,61.111,313.889,655.556,8.333,N
13,-0.065,1.450,-0.285,116.667,86.111,308.333,669.444,13.889,N
14,-0.185,1.335,-0.390,133.333,86.111,330.556,650.000,19.444,N
15,-0.225,1.325,-0.325,127.778,86.111,333.333,633.333,16.667,N
16,-0.155,1.380,-0.250,116.667,91.667,341.667,650.000,16.667,N
17,-0.105,1.490,-0.295,138.889,88.889,305.556,683.333,33.333,N
18,-0.150,1.375,-0.295,136.111,91.667,322.222,650.000,33.333,N
19,-0.155,1.315,-0.255,122.222,88.889,319.444,633.333,16.667,N
20,-0.110,1.400,-0.250,125.000,91.667,308.333,641.667,8.333,N
21,-0.130,1.350,-0.245,108.333,83.333,319.444,647.222,5.556,N
22,-0.105,1.375,-0.125,130.556,58.333,377.778,647.222,0.000,N
23,0.065,1.590,-0.065,130.556,63.889,330.556,641.667,5.556,N
24,0.055,1.585,-0.150,116.667,91.667,316.667,652.778,11.111,N
25,-0.010,1.490,-0.220,133.333,100.000,319.444,652.778,0.000,N
26,-0.070,1.375,-0.265,133.333,83.333,316.667,638.889,13.889,N
27,-0.145,1.405,-0.235,136.111,100.000,344.444,661.111,22.222,N
28,-0.065,1.390,-0.120,122.222,61.111,327.778,655.556,5.556,N
29,0.055,1.630,-0.035,111.111,83.333,305.556,652.778,2.778,N
30,0.100,1.630,-0.075,133.333,91.667,322.222,641.667,11.111,N
31,0.095,1.650,-0.065,130.556,94.444,313.889,647.222,5.556,N
32,0.110,1.635,0.015,130.556,88.889,322.222,647.222,0.000,N
33,0.175,1.630,0.045,130.556,86.111,327.778,661.111,13.889,N
34,0.175,1.715,0.090,127.778,88.889,294.444,672.222,11.111,N
35,0.270,1.830,0.160,130.556,88.889,313.889,638.889,33.333,N
36,0.270,1.845,0.010,125.000,88.889,308.333,644.444,5.556,N
